Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
40.063800,10325.330000,9948.333000,9052.333000,9745.000000,9743.000000,11821.000000,8596.000000,9458.000000,10281.000000,4362.000000,3239.000000,7290.000000
40.327390,10411.670000,9975.667000,9090.667000,10125.670000,9904.667000,11758.670000,8480.333000,9491.333000,10308.330000,4432.333000,2981.333000,7276.333000
40.590970,10547.330000,10149.330000,9112.333000,9902.000000,10084.000000,11907.000000,8771.000000,9755.000000,10431.000000,4449.333000,3156.333000,7239.333000
40.854530,10760.000000,10310.000000,9376.000000,9963.333000,10293.330000,12023.330000,8734.000000,9736.000000,10673.000000,4486.667000,3188.667000,7419.667000
41.118110,10701.670000,10331.670000,9347.667000,9942.667000,10191.670000,11993.670000,8787.333000,9735.333000,10559.330000,4619.000000,3257.000000,7605.000000
41.381690,10788.000000,10358.000000,9450.000000,10043.670000,10214.670000,12085.670000,8870.000000,9735.000000,10634.000000,4631.333000,3269.333000,7420.333000
41.645280,10798.670000,10402.670000,9299.667000,10356.670000,10159.670000,12177.670000,8893.667000,9717.667000,10665.670000,4853.000000,3118.000000,7323.000000
41.908860,10712.000000,10214.000000,9130.000000,9808.333000,9880.333000,11922.330000,8844.667000,9466.667000,10431.670000,4792.333000,3113.333000,7341.333000
42.172420,10678.670000,10264.670000,9148.667000,9788.000000,9835.000000,11934.000000,8844.000000,9445.000000,10332.000000,4725.000000,2975.000000,7217.000000
42.436000,10815.670000,10416.670000,9160.667000,9901.333000,10006.330000,11982.330000,8737.000000,9574.000000,10504.000000,4864.333000,3186.333000,7321.333000
42.699580,10908.000000,10532.000000,9268.000000,10029.670000,10100.670000,12123.670000,8800.000000,9665.000000,10535.000000,4865.000000,3098.000000,7395.000000
42.963170,11067.330000,10679.330000,9666.333000,10169.670000,10259.670000,12269.670000,8904.000000,9848.000000,10643.000000,4979.333000,3110.333000,7551.333000
43.226750,11077.000000,10877.000000,9483.000000,10326.000000,10173.000000,12303.000000,8957.000000,9826.000000,10699.000000,4763.667000,3144.667000,7609.667000
43.490310,11330.670000,10882.670000,9720.667000,10147.670000,10203.670000,12305.670000,9096.333000,9859.333000,10805.330000,4899.000000,3152.000000,7505.000000
43.753890,11265.330000,10937.330000,9751.333000,10206.000000,10178.000000,12275.000000,8974.667000,9916.667000,10821.670000,4799.667000,3163.667000,7405.667000
44.017470,11247.000000,10991.000000,9389.000000,10078.330000,10197.330000,12278.330000,8981.000000,9897.000000,10754.000000,4903.000000,3184.000000,7497.000000
44.281060,11003.000000,10868.000000,9281.000000,10148.330000,10048.330000,12004.330000,8904.667000,9610.667000,10584.670000,4764.000000,3021.000000,7469.000000
44.544640,11135.000000,10816.000000,9392.000000,9984.667000,10036.670000,12019.670000,8894.000000,9612.000000,10624.000000,4699.667000,3071.667000,7275.667000
